(No column name),ProductHierarchyLevel2Name
NULL,NULL
,NULL
750001,PIANO
750002,PREMIUM PIANO
750003,BOSENDORFER
750004,HYBRID
750005,DigitalPiano
750006,PORTABLE KEYBOARD
750007,B&O
750008,STRING
750009,PERCUSSION
750010,GUITARS
750011,DRUMS
750012,SY&DE
750013,LINE6
750014,AMPEG
750015,NULL
750016,NULL
750017,NULL
750018,NULL
750019,NULL
750020,NULL
750021,NULL
750022,NULL
750023,NULL
750024,NULL
750025,NULL
750026,NULL
750027,NULL
750028,NULL
750029,NULL
750030,NULL
750031,NULL
750032,NULL
750033,NULL
750034,NULL
750035,NULL
750036,NULL
750037,NULL
750055,CORDOBA
750056,GUILD
750062,NULL
750063,NULL
750064,NULL
750065,NULL
